code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.01157,2021-03-15 09:30:00,11.34,11.34,11.34,11.34,0.0,0.0,800,9072.0,0.3539823008849482,11.3
HK.01157,2021-03-15 09:31:00,11.44,11.3,11.44,11.24,0.0,0.0,114200,1295116.0,-0.3527336860670119,11.34
HK.01157,2021-03-15 09:32:00,11.26,11.3,11.32,11.26,0.0,0.0,6200,69992.0,0.0,11.3
HK.01157,2021-03-15 09:33:00,11.3,11.28,11.3,11.26,0.0,0.0,2400,27076.0,-0.1769911504424898,11.3
HK.01157,2021-03-15 09:34:00,11.28,11.1,11.3,11.1,0.0,0.0,86400,967984.0,-1.5957446808510614,11.28
HK.01157,2021-03-15 09:35:00,11.1,11.18,11.18,11.1,0.0,0.0,1800,20016.0,0.7207207207207215,11.1
HK.01157,2021-03-15 09:36:00,11.18,11.18,11.22,11.12,0.0,0.0,59400,665080.0,0.0,11.18
HK.01157,2021-03-15 09:37:00,11.22,11.1,11.22,11.1,0.0,0.0,151800,1697460.0,-0.7155635062611813,11.18
HK.01157,2021-03-15 09:38:00,11.12,11.14,11.14,11.12,0.0,0.0,20000,222504.0,0.36036036036036867,11.1
HK.01157,2021-03-15 09:39:00,11.16,11.12,11.22,11.12,0.0,0.0,42800,477964.0,-0.17953321364453634,11.14
HK.01157,2021-03-15 09:40:00,11.14,11.16,11.16,11.14,0.0,0.0,4400,49028.0,0.3597122302158357,11.12
HK.01157,2021-03-15 09:41:00,11.16,11.16,11.16,11.16,0.0,0.0,11400,127220.0,0.0,11.16
HK.01157,2021-03-15 09:42:00,11.16,11.16,11.16,11.16,0.0,0.0,3600,40176.0,0.0,11.16
HK.01157,2021-03-15 09:43:00,11.16,11.16,11.16,11.16,0.0,0.0,4000,44640.0,0.0,11.16
HK.01157,2021-03-15 09:44:00,11.16,11.22,11.22,11.16,0.0,0.0,21000,234976.0,0.5376344086021551,11.16
HK.01157,2021-03-15 09:45:00,11.22,11.22,11.24,11.22,0.0,0.0,9400,105532.0,0.0,11.22
HK.01157,2021-03-15 09:46:00,11.22,11.24,11.28,11.2,0.0,0.0,52000,583948.0,0.17825311942958622,11.22
HK.01157,2021-03-15 09:47:00,11.28,11.24,11.3,11.22,0.0,0.0,32200,362180.0,0.0,11.24
HK.01157,2021-03-15 09:48:00,11.26,11.26,11.3,11.24,0.0,0.0,12200,137552.0,0.17793594306049443,11.24
HK.01157,2021-03-15 09:49:00,11.24,11.24,11.26,11.22,0.0,0.0,24200,272352.0,-0.17761989342806014,11.26
