code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.01157,2021-03-16 09:30:00,11.4,11.4,11.4,11.4,0.0,0.0,25600,291840.0,1.9677996422182524,11.18
HK.01157,2021-03-16 09:31:00,11.4,11.48,11.5,11.38,0.0,0.0,133200,1523568.0,0.7017543859649129,11.4
HK.01157,2021-03-16 09:32:00,11.42,11.4,11.46,11.32,0.0,0.0,128600,1463744.0,-0.6968641114982584,11.48
HK.01157,2021-03-16 09:33:00,11.4,11.46,11.52,11.4,0.0,0.0,115800,1327196.0,0.5263157894736885,11.4
HK.01157,2021-03-16 09:34:00,11.46,11.5,11.5,11.46,0.0,0.0,36200,415212.0,0.3490401396160484,11.46
HK.01157,2021-03-16 09:35:00,11.48,11.44,11.48,11.42,0.0,0.0,126800,1450548.0,-0.5217391304347869,11.5
HK.01157,2021-03-16 09:36:00,11.42,11.44,11.46,11.38,0.0,0.0,51800,591948.0,0.0,11.44
HK.01157,2021-03-16 09:37:00,11.46,11.48,11.48,11.42,0.0,0.0,38800,443892.0,0.34965034965035774,11.44
HK.01157,2021-03-16 09:38:00,11.48,11.44,11.5,11.44,0.0,0.0,18600,213296.0,-0.34843205574913694,11.48
HK.01157,2021-03-16 09:39:00,11.46,11.46,11.48,11.44,0.0,0.0,74200,850260.0,0.17482517482518664,11.44
HK.01157,2021-03-16 09:40:00,11.46,11.5,11.52,11.46,0.0,0.0,141800,1628900.0,0.3490401396160484,11.46
HK.01157,2021-03-16 09:41:00,11.48,11.54,11.54,11.48,0.0,0.0,89600,1031984.0,0.34782608695651435,11.5
HK.01157,2021-03-16 09:42:00,11.54,11.5,11.54,11.48,0.0,0.0,29200,336600.0,-0.3466204506065784,11.54
HK.01157,2021-03-16 09:43:00,11.5,11.54,11.54,11.5,0.0,0.0,42400,487708.0,0.34782608695651435,11.5
HK.01157,2021-03-16 09:44:00,11.5,11.5,11.52,11.46,0.0,0.0,72000,827524.0,-0.3466204506065784,11.54
HK.01157,2021-03-16 09:45:00,11.48,11.44,11.48,11.42,0.0,0.0,149000,1704252.0,-0.5217391304347869,11.5
